,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
16, ľ D)Pune,Chennai,Jaipur,Kolkata,Pune,None of these,The National Institute of Naturopathy located in which city ?," :National Institute of Naturopathy (NIN), Pune is an autonomous body under Ministry of AYUSH, Government of India, located at a historical place called  ôBapu Bhavanö  in Pune",13.1
17, ľ B)Tata Institute of Fundamental Research,Institute of Physically Handicapped,Tata Institute of Fundamental Research,Radio Astronomy Centre,ISRO,None of these,Which is located in  Muthoraj ?," :The Ooty Radio Telescope is located in Muthorai near Ootacamund, south India. It is part of the National Centre for Radio Astrophysics of the well known Tata Institute of Fundamental Research",13.1
18, ľ B)Jodhpur,Kochi,Jodhpur,Pune,Bengaluru,None of these,The Locust  Warning Organization is located at ______..," :Locust warning organisation of the Govt. of India was established from April 1939. In 1942, a coordination Antilocust Scheme was put into operation.It was located at Jodhpur, Rajasthan",13.1
19, ľ D)Indian Institute of Foreign Trade,Indian Institute of Packaging,National Institute of Animal Health,Centre for Wind Energy Technology,Indian Institute of Foreign Trade,None of these,Which organization is located in New Delhi ?, :The Indian Institute of Foreign Trade is an autonomous public business school established in 1963 by the Government of India to help professionalize the countryĺs foreign trade management HQ: New Delhi.,13.1
20, ľ C)Uttar Pradesh,Madhya Pradesh,Karnataka,Uttar Pradesh,West Bengal,None of these,VV Giri National Labour Institute located in ______.," :V.V.Giri National Labour Institute, under the Ministry of Labour of Government of India, is an autonomous institute dedicated to the research in the field of labour and training of labour administrators, trade unions, public sector managers and other government functionaries concerned with labour.It was located at Noida, UP",13.1
21, ľ A)Mumbai,Mumbai,Kolkata,Bengaluru,New Delhi,None of these,Bhabha Atomic Research Centre(BARC) located in ______..," :The Bhabha Atomic Research Centre (BARC) is Indiaĺs premier nuclear research facility based in Trombay, Mumbai, Maharashtra.",13.1
22, ľ D)Saha Institute of Nuclear Physics,Space Application Centre,Radio Astronomy Centre,Space Commission,Saha Institute of Nuclear Physics,None of these,Which of the following is located in Kolkata ?," :The Saha Institute of Nuclear Physics is an institution of basic research and training in physical and biophysical sciences located in Bidhannagar, Kolkata, India. The institute is named after the famous Indian physicist Meghnad Saha",13.1
23, ľ A)Chennai,Chennai,Mumbai,Lucknow,Ujjain,None of these,Centre for Wind Energy Technology located in," :Centre for Wind Energy Technology (C-WET) in Chennai,Tamil Nadu",13.1
24, ľ B)Rubber Board,Tea Board,Rubber Board,Tobacco Board,Coffee Board,None of these,Which board is placed at Kottayam ?," :The Rubber Board is a statutory body constituted by the Government of India, under the Rubber Act 1947, for the overall development of the rubber industry in the country.It was located at Kottayam, Kerala",13.1
25, ľ C)Kolkata,Bengaluru,Pune,Kolkata,Chennai,None of these,The National Institute of Homeopathy located in which place ?," :National Institute of Homoeopathy (NIH) is an autonomous organisation under the Department of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH), Ministry of Health & Family Welfare, Govt. of India.It was located in Kolkata, WB.",13.1
26, ľ A)Tamil Nadu,Tamil Nadu,West Bengal,Maharashtra,Karnataka,None of these,The Integral Coach factory is located in which state ?," :The Integral Coach Factory (ICF) was Started in 1952 . It is a factory for rail coaches located in Perambur, a suburb near Chennai, India.",13.1
27, ľ D)Rail Coach Factory,Chittanrajan Locomotive work,Rail Wheel Factory,Diesel Locomotive Work,Rail Coach Factory,None of these,Which of the following is located at Kapurthala ?, :Rail Coach Factory at Kapurthala in the Indian state of the Punjab is located on the Jalandhar-Firozpur line.,13.1
28, ľ C)Chandigarh,Shimla,Gandhi Nagar,Chandigarh,Pune,None of these,The Microbial type culture collection centre is situated in ______..," :The Microbial Type Culture Collection and Gene Bank (MTCC), a national facility established in 1986 is funded jointly by the Department of Biotechnology (DBT) and the Council of Scientific and Industrial Research (CSIR), Government of India. It was located in Chandigarh",13.1
29, ľ A)Dehradun,Dehradun,Hyderabad,Dehradun,Gurgaon,None of these,The Indian Institute of Petroleum located in ______.," :The Indian Institute of Petroleum (IIP), established in 1960, is one of the constituent laboratories of the Council of Scientific and Industrial Research (CSIR), dedicated to R&D in the hydrocarbon sector.It was situated at Dehradun.",13.1
30, ľ D)Central Tobacco Research Institute,Central Inland Fisheries Research Institute,National Institute of Animal Health,Indian Veterinary Research Institute,Central Tobacco Research Institute,None of these,Which of the following is located at Rajahmundry ?, :central tobacco research institute is situated at Rajahmundry in Andhra Pradesh,13.1
31, ľ C)Roorkee,Sriperambudur,Powai,Roorkee,Gwalior,None of these,The National Institute of Hydrology is located at ______.., :National Institute of Hydrology (NIH) is a Government of India society under Ministry of Water Resources and has been functioning as a research Institute in the area of hydrology and water resources in the country since December 1978 in Roorkee City.,13.1
32, ľ B)Central Marine Research Institute,Survey Training Institute,Central Marine Research Institute,High Altitude Research Laboratory,National Institute of Oceanography,None of these,Which is located at Chennai ?," :The Central Marine Research Institute is a marine fisheries research institute located at Chennai, India. It is an Indian Council of Agricultural Research institute",13.1
33, ľ C)Pulses Research Laboratory,National Coral Reef Research Centre,Central Leather Research Institute,Pulses Research Laboratory,Central Drug Research Institute,None of these,______ is located at Pachmarhi, :Pulses Research Laboratory located at Pachmarhi in Madhya Pradesh,13.1
34, ľ A)Hyderabad,Hyderabad,Bangalore,Mumbai,New Delhi,None of these,The National Police Academy is located at ______..," :Sardar Vallabhbhai Patel National Police Academy (SVPNPA) or National Police Academy (NPA) is located in Hyderabad, the capital of the Telangana",13.1
35, ľ D)Rain Forest Research Institute,Forest Research Institute,Arid Forest Research Institute,Himalayan Forest Research Institute,Rain Forest Research Institute,None of these,______.. is located at Jorhat," :Rain Forest Research Institute is a Research institute situated in Jorhat in Assam. It works under the Indian Council of Forestry Research and Education of the Ministry of Environment and Forests, Govt. of India.",13.1
36, ľ A)New Delhi,New Delhi,Mumbai,Hyderabad,Ahmedabad,None of these,The Central Soil and Material Research Station is located at ______.," :The Central Soil and Materials Research Station (CSMRS), an attached office of the Ministry of Water Resources, River Development & Ganga Rejuvenation is a premier institute in the country located at New Delhi",13.1
37, ľ B)Tamil Nadu,Kerala,Tamil Nadu,Karnataka,Odisha,None of these,Neyveli Lignite Corporation Ltd is situated in which state ?," :Neyveli Lignite Corporation Limited (NLC) is a government-owned lignite mining and power generating company in India. NLC operates the largest open-pit lignite mines in Tamil Nadu, India.",13.1
38, ľ C)Hapur,Ranchi,Mumbai,Hapur,Delhi,None of these,The Indian Grain Storage Management and Research Institute is located ______., :The Indian Grain Storage Management and Research Institute (IGMRI)is located at Hapur and its two field stations located at Hyderabad and Ludhiana,13.1
39, ľ D)National Academy of Medical Science,National Tuberculosis Institute,National Institute of Nutrition,School of Tropical Medicine,National Academy of Medical Science,None of these,Which of the following is located in New Delhi ?, :National Academy of Medical Sciences (IndiA) is a unique institution which fosters and utilizes academic excellence as its resource to meet medical and social goals.It is located in New Delhi,13.1
40, ľ B)Bengaluru,Chittaranjan,Bengaluru,Gwailor,Mumbai,None of these,The Rail Wheel Factory is located in ______.," :Rail Wheel Factory is a manufacturing unit of Indian Railways, producing wheels, axles and wheel sets of railroad wagons, coaches and locomotives for the use of Indian Railways and overseas customers is situated at Yelahanka, Bangalore",13.1
41, ľ A)The Central Water and Power Research Station,The Central Water and Power Research Station,Netaji Subash National Institute of Sports,National Institute of Immunology,National Sugar Research Institute,None of these,______. is located in Pune," :The Central Water and Power Research Station (CWPRS), Pune, was established in 1916 by the then Bombay Presidency as a ôSpecial Irrigation Cellö with a limited mandate to modify irrigation practice to meet agricultural requirements.",13.1
42, ľ D)Jharkhand,Maharashtra,Uttarakhand,Madhya Pradesh,Jharkhand,None of these,Uranium Corporation of India Limited is located in which state ?, :The Jaduguda Mine is a uranium mine in Jaduguda village in the Purbi Singhbhum district of the Indian state of Jharkhand. It commenced operation in 1967 and was the first uranium mine in India. The deposits at this mine were discovered in 1951,13.1
43, ľ B)Hindustan Photo Films Manufacturing Company Ltd,Security Paper Mill,Hindustan Photo Films Manufacturing Company Ltd,Heavy Machine Building Plant,Hindustan Zinc Ltd,None of these,Which of the following is located in Tamil Nadu ?," :Hindustan Photo Films Manufacturing Company Limited (HPF) is an Indian-based public sector manufacturer of photographic films, cine films, X-Ray films, graphic arts films, photographic paper, and chemistry. It is based at Udhagamandalam, a hill station in Tamil Nadu.",13.1
44, ľ C)Allahabad,Dehradun,Ranchi,Allahabad,Bhopal,None of these,Centre for Social Forestry and Eco-rehabilitation is located in ______..," :Centre for Social Forestry and Eco-Rehabilitation (CSFER).Allahabad was established in 1992 as an advanced centre under the umbrella of ICFRE, Dehradun.",13.1
45, ľ A)National Mangrove Genetic Resource Centre,National Mangrove Genetic Resource Centre,Animal Welfare Board of India,Rashtriya Sanskrit Vidyapeetha,Hindustan Aircraft Facory,None of these,______ is located in Odisha, :The Government has established a National Mangrove Genetic Resources Centre in Orissa.,13.1
46, ľ D)Central Scientific Instrument Organization,National Institute of Oceanography,National Law School of India University,Central Mining Research Institute,Central Scientific Instrument Organization,None of these,Which of the following is located in Chandigarh ?," :Central Scientific Instruments Organisation is a national laboratory dedicated to research, design and development of scientific and industrial instruments.",13.1
47, ľ B)Lucknow,Dhanbad,Lucknow,Nagpur,Pilani,None of these,The Central Drug Research Institute is located in ______.," :The Central Drug Research Institute is a multidisciplinary research laboratory in Lucknow, India, employing scientific personnel from various areas of biomedical sciences",13.1
48, ľ C)Mumbai,Hyderabad,Bangalore,Mumbai,New Delhi,None of these,The Indians Rare Earth Limited located at ______., :Indian Rare Earths Limited (IREL) is a government-owned corporation in India based in Mumbai.,13.1
49, ľ D)Uranium Corporation of India Ltd,Physical Research Laboratory,Tata Institute of Fundamental Research,Equatorial Rocket Launching Station,Uranium Corporation of India Ltd,None of these,Which of the following is located in Jharkhand ?," :Uranium Corporation of India (UCIL) is a centrally owned Public Sector Undertaking (PSU), under the Department of Atomic Energy for uranium mining and uranium processing. The corporation was founded in 1967 and is responsible for the mining and milling of uranium ore in India",13.1
50, ľ A)Maharashtra,Maharashtra,Karnataka,Madhya Pradesh,Kerala,None of these,Hindustan Organic Chemical Ltd is located in ______., :HINDUSTAN ORGANIC CHEMICALS LIMITED. Hindustan Organic Chemicals Limited(HOCL) was set up by the Government of India in 1960,13.1
51, ľ C)All India Institute of Hygiene and Public Health,National Institute of Occupational Health,Vallabhai Patel Chest Institute,All India Institute of Hygiene and Public Health,National Institute of Communicable Diseases,None of these,______. is located in Kolkata," :All India Institute of Hygiene and Public Health (AIIH&PH), is a pioneering Indian institute for research and training in public health and allied sciences in Kolkata",13.1
52, ľ D)Jamshedpur,Panaji,Mysore,Nagpur,Jamshedpur,None of these,National Metallurgical Laboratory is located in ______.., :National Metallurgical Laboratory is an Indian research center that functions under the aegis of Council of Scientific and Industrial Research.,13.1
53, ľ C)Hindustan Prefab Ltd,Heavy Vehicles Factory,Hindustan Aeronautics Ltd,Hindustan Prefab Ltd,Hindustan Teleprinters Ltd,None of these,______. Is located in New Delhi, :The Hindustan Prefab Limited (HPL) has built a wide spectrum of civil engineering structures and has also supplied components for the building industry.,13.1
54, ľ A)Rajasthan,Rajasthan,West Bengal,Madhya Pradesh,Gujarat,None of these,Hindustan Zinc Ltd is located in ______," :Hindustan Zinc Ltd is located in  Rajasthan.Hindustan Zinc Limited (HZL) is an integrated mining and resources producer of zinc, lead",13.1
55, ľ D)Bharat Electronics Ltd,Haffkine Institute,School of Tropical Medicine,National Institute of Yoga,Bharat Electronics Ltd,None of these,Which of the following is located in Bengaluru ?," :Bharat Electronics Limited (BEL) was established at Bangalore, India, by the Government of India under the Ministry of Defence in 1954",13.1
56, ľ B)Guragon,Lucknow,Guragon,Hyderabad,Chennai,None of these,Institute of Pesticide Formulation Technology is located in which state ?," :Institute of Pesticide Formulation Technology. Established in May 1991 under the Department of Chemicals & Petrochemicals, Ministry of Chemicals & Fertilizers as an Autonomous Institution",13.1
57, ľ A)Kerala,Kerala,Tamil Nadu,Katrnataka,Maharashtra,None of these,Thumba Equatorial Rocket launching station is located in ______, :Thumba Equatorial Rocket launching station is located in Kerala.Thumba Equatorial Rocket Launch Station (TERLS) was established in 1962,13.1
58, ľ B)New Delhi,Mumbai,New Delhi,Cuttak,Hyderabad,None of these,The Indian Agriculture Research Institute was located in ______.," :The Indian Agricultural Research Institute (IARI) commonly known as Pusa Institute is Indiaĺs premier national Institute for agricultural research, education and extension.It was located in New Delhi",13.1
59, ľ C)Central Rice Research Institute,Integrated Fisheries Project,Animal Health Institute,Central Rice Research Institute,Central Tobacco Research Institute,None of these,Which of the following is located in Cuttack ?," :The National Rice Research Institute is situated near Bidyadharpur village on the Cuttack-Paradip Road, Odisha, India. It is one of the premier national research institutes under the Indian Council of Agricultural Research.",13.1
60, ľ B)Uttar Pradesh,Madhya Pradesh,Uttar Pradesh,West Bengal,Tamil Nadu,None of these,The Indian Institute of Sugarcane Research located in which state ?," :The Indian Institute of Sugarcane Research (acronym IISR) is an autonomous institute of higher learning, established under the umbrella of Indian Council of Agricultural Research (ICAR) by the Ministry of Agriculture, Government of India for advanced research in sugar cane agriculture. The Institute is located on Raibareli Road, Dilkusha in Lucknow, Uttar Pradesh.",13.1
61, ľ A)Central Institute of Fresh Water Agriculture,Central Institute of Fresh Water Agriculture,Disease  Investigation Laboratory,Locust Warning Organization,Integrated Fisheries Project,None of these,Which is located at Bhubaneshwar ?," :Central Institute of Fresh Water Agriculture located at Bhubaneshwar.It is a premier research Institute on freshwater aquaculture in the country under the aegeis of the Indian Council of Agricultural Research (ICAR), New Delhi.",13.1
62, ľ C)Izzatnagar,Hissar,Coimbatore,Izzatnagar,Cochin,None of these,The Central Potato Research Institute located at ______., :The Government of India established the ICAR-Central Potato Research Institute in the year 1949 at Izzatnagar to harness the potential of this promising crop for food security.,13.1
63, ľ A)Central Institute of Cotton Research,Central Institute of Cotton Research,Central Tobacco Research  Institute,Central Sugarcane Research  Institute,National Centre of Organic Farming,None of these,Which of the following Institute located in Nagpur ?, :Central Institute for Cotton Research abbr. CICR is central research institute established (in 1976) by the Indian Council of Agricultural Research in Nagpur,13.1
64, ľ A)Karnal,Karnal,Port Blair,Bareilly,Surat,None of these,The Central Soil Salinity Research institute in which place ?," :The Central Soil Salinity Research Institute (acronym CSSRI) is an autonomous institute of higher learning, established under the umbrella of Indian Council of Agricultural Research (ICAR) by the Ministry of Agriculture, Government of India for advanced research in the field of soil sciences. The Institute is located on Kachawa Road in Karnal, in the state of Haryana.",13.1
65, ľ B)Ghaziabad,Jabalpur,Ghaziabad,Bhopal,Hyderabad,None of these,Advanced Level Telecom Centre located in ______, :Advanced Level Telecom Training Centre (ALTTC) at Ghaziabad. It was set up in 1975-76 with the assistance of UNDP to meet the continuing and long term need for high level technical personnel required for planning and development of ever expanding telecom network and service in the country.,13.1
66, ľ D)Coffee Board,Tea Board,Indian Diamond Institute,Tobacco Board,Coffee Board,None of these,______. Board is located in Bangalore, :The Coffee Board of India is an organisation managed by the Ministry of Commerce and Industry of the government of India to promote coffee production in India. The board was set up by an act of parliament in 1942 .,13.1
67, ľ C)Forest Survey of India,Indian Statistical Institute,Centre of Wind Energy Technology,Forest Survey of India,National Institute of Hydrology,None of these,Which is located in Dehradun ?," :Forest Survey of India (FSI) is a government organization in India under the union Ministry of Environment and Forests for conducting forest surveys and studies. The organization came into being in June, 1981 .It is headquartered at Dehradun, Uttarakhand, India.",13.1
0, ñ D)The Pulitzer Prize,The Grammy Award,The Abel Prize,The Green Star Award,The Pulitzer Prize,None of these,"Which award is given for achievements in newspaper and online journalism, literature, and musical composition?"," :The Pulitzer Prize is an award for achievements in newspaper and online journalism, literature, and musical composition in the United States.",15.1
1, ñ A)Coach,Coach,Player,Captain,All of these,None of these,The Dronacharya Award awarded to _____, :Dronacharya Award ñ Eminent coaches of any particular sport,15.1
2, ñ A)Architecture,Architecture,Music,Sports,Literature,None of these,Contribution to which field is honoured by the Aga Khan award ?," :The Aga Khan Award for Architecture (AKAA) is an architectural prize established by Aga Khan IV in 1977. It aims to identify and reward architectural concepts that successfully address the needs and aspirations of Islamic societies in the fields of contemporary design, social housing, community development and improvement.",15.1
3, ñ D)Music,Physiology or Medicine,"Literature, Peace and Economics",Physics and chemistry,Music,None of these,For which of the following disciplines in Nobel Prize is not Awarded? ," :The Nobel Prize is a set of annual international awards bestowed in a number of categories by Swedish and Norwegian committees in recognition of academic, cultural and/or scientific advances",15.1
4, ñ A)Films,Films,Science,Sports,Literature,None of these,The Oscar prize is given in the field of _____.., :This is an annual American awards ceremony honoring cinematic achievements in the film industry.,15.1
5, ñ C)Grammy Award,Pritzker Prize,Kalinga Prize,Grammy Award,Magsaysay Award,None of these,_____.. is for the contribution to Music," :A Grammy Award, or Grammy, is an accolade by the National Academy of Recording Arts and Sciences of the United States to recognize outstanding achievement in the music industry",15.1
6, ñ B)Medical Service,Literature,Medical Service,Public Administration,Social Service,None of these,For outstanding contribution to which one of the followingí fields is the Dhanwantri award?," :The Dhanwantri award is the prestigious award, which recognises contribution in medical science, is being awarded annually since 1972 .",15.1
7, ñ B) The Booker prize,The Oscar prize,The Booker prize,The Kalinga Award,The Dada Saheb Phalke award,None of these,_____ is given in the field of fiction," :The Man Booker Prize for Fiction (formerly known as the Booker-McConnell Prize and commonly known simply as the Booker PrizE) is a literary prize awarded each year for the best original novel, written in the English language, and published in the UK.",15.1
8, ñ A)Films,Films,Sports,Architecture,Literature,None of these,The BAFTA Award is for the contribution to _____," :The British Academy Film Awards are presented in an annual award show hosted by the British Academy of Film and Television Arts.BAFTA Awards ñ Television, Films, Video Games and Animation.",15.1
9, ñ E)All of these,Journalism,Arts,Literature,Public Service,All of these,For outstanding contribution to which one of the followingí fields is Magsaysay Award?,:,15.1
10, ñ A)Scientific Research ,Scientific Research,Sports,Business,Literature,None of these,G.D. Birla Award for _____ an award instituted in 1991 by theK. K. Birla Foundation," :G.D. Birla Award for Scientific Research is an award instituted in 1991 by the K. K. Birla Foundation in honour of the Indian philanthropist Ghanshyam Das Birla. The award is given to an outstanding scientific research, mostly during the past 5 years, undertaken by an Indian scientist, who is below the age of 50, living and working in India.",15.1
11, ñ C)The Cannes Award,The Ekalavya Award,The Arjuna Award,The Cannes Award,The Grammy Award,None of these,_____. is given in the field of films," :The Cannes Festival named until 2002 as the International Film Festival (Festival international du film) and known in English as the Cannes Film Festival, is an annual film festival held in Cannes, France, which previews new films of all genres, including documentaries, from around the world. Founded in 1946",15.1
12, ñ A)The Sharad Joshi Samman,The Sharad Joshi Samman,The Vyas Samman,The Iqbal Samman,The Tansen Samman,None of these,Which samman is awarded for Satire and essay ?, :The Sharad Joshi Samman is awarded for Satire and essay,15.1
13, ñ B)Peace,Army,Peace,Social Service,Public Service,None of these,The Joliot-Curie Medal is given for _____," :Medal of Peace, renamed in 1959 the Joliot-Curie Medal of Peace in honour of FrÈdÈric Joliot-Curie, who led the WPC till his death in 1958. This medal has been awarded in silver, but the highest WPC honour is the gold medal.",15.1
14, ñ C)The Jawaharlal Nehru Award,The Bourlog Award,The Bhatnagar Award,The Jawaharlal Nehru Award,The Bowelay Award,None of these,Which of the following is given in the field of  International Understanding  ?," :The Jawaharlal Nehru Award for International Understanding is an international award presented by the Government of India. It was established in 1965 and is administered by the Indian Council for Cultural Relations (ICCR) to people ìfor their outstanding contribution to the promotion of international understanding, goodwill and friendship among people of the worldî.",15.1
15, ñ D)Arts,Maths,Sports,Science,Arts,None of these,The Lalit Kala Akademi Award is given in the field of _____., :The Lalit Kala Akademi Award is given in the field of Arts,15.1
16, ñ A)Music,Music,Dance,Drama,Cinema,None of these,For outstanding contribution to which one of the followingí fields is  Tansen  Samman ?, :The prestigious ëNational Tansen Sammaní is a musical award conferred to the exponents[ of Hindustani music.,15.1
17, ñ D)The Dhanvantari Award,The Lalit Kala Academy Ratna,The Jnanpith Award,The Vyas Samman,The Dhanvantari Award,None of these,Which recognises contribution in medical science ?," :The prestigious award Dhanvantari Award which recognises contribution in medical science, is awarded annually since 1972 .  ",15.1
18, ñ B)Sports,Music,Sports,Science,Research,None of these,Contribution to which field is honoured by the Rajiv Gandhi Khel Ratna award ?," :The Rajiv Gandhi Khel Ratna (RGKR) is Indiaís highest honour given for achievement in sports, given by the Ministry of Youth Affairs and Sports",15.1
19, ñ A)The Vikram Sarabhai award,The Vikram Sarabhai award,The Homi Bhabha Award,The Jamnalal Bajaj Award,The BC Roy Award,None of these,_____.. is given to distinguished Scientist of the Country in recognition of their outstanding contributions., :The Vikram Sarabhai memorial award was instituted by the Indian Science Congress Association in 1997-98. The award carries a Gold Medal and is given in every alternate years. The award is given to distinguished Scientist of the Country in recognition of their outstanding contributions.,15.1
20, ñ D)1901,1926,1938,1968,1901,None of these,"The Noble Prizes for Peace, Physics, Chemistry, Medicine and Literature were started in"," :The Noble Prizes for Peace, Physics, Chemistry, Medicine and Literature were started in 1901 and  Economics was started in 1968",15.1
21, -B)RabindranathTagore,Kailash Satyarthi,Rabindranath Tagore,CV Raman,Mother Teresa,None of these,Who was the first Indian Nobel Laureates ?," :Awarded the Nobel Prize for Literature,Rabindranath Tagore became the first Indian ever to get this award for his collection of his poems named ìGeetanjaliî that featured ìprofoundly sensitive, fresh and beautiful verseî.",15.1
22, ñ D) Both 1 and 2,Jean- Paul Sarte,Le Duc Tho,Woodrow Wilson,Both 1 and 2,None of these,_____.. was/ were Refused the  Nobel Prize, :Jean- Paul Sarte(LiteraturE) and Le Duc Tho(PeacE) were Refused the Nobel Prize in 1964 and 1973 respectively,15.1
23, ñ A)Wilhelm Rˆntgen,Wilhelm Rˆntgen,Hendrik Lorentz,Marie Curie,J. J. Thomson,None of these,Who received the first Nobel Prize in Physics ?," :Wilhelm Conrad Rˆntgen was a German physicist, who, on 8 November 1895, produced and detected electromagnetic radiation in a wavelength range known as X-rays or Rˆntgen rays, an achievement that earned him the first Nobel Prize in Physics in 1901 .",15.1
24, ñ D)3,2,5,4,3,None of these,The Nobel Prize can be given to maximum _____.. persons, :The Nobel Prize can be given to maximum 3 persons,15.1
25, ñ C)Marie Curie,Betty Williams,Mother Teresa,Marie Curie,Aiya Myrdal,None of these,The first woman to win a Nobel Prize was _____..," :The first woman to win a Nobel Prize wasMarie Curie, who won the Nobel Prize in Physics in 1903 with her husband, Pierre Curie, and Henri Becquerel. Curie is also the only woman to have won multiple Nobel Prizes; in 1911, she won the Nobel Prize in Chemistry.",15.1
26, ñ A)Linus Pauling,Linus Pauling,Dorothy Hodgkin,Robert S. Mulliken,Hans Bethe,None of these,_____. is the only person to have been awarded two unshared Nobel Prizes, :Linus Pauling is the only person to have been awarded two unshared Nobel Prizes ñ the 1954 Nobel Prize in Chemistry and the 1962 Nobel Peace Prize.,15.1
27, ñ C)NATO,European Union,UNICEF,NATO,IAEA,None of these,Which of the following Organization won the Nobel Peace Prize ?," :European Union, UNICEF and IAEA won the Nobel Peace Prize in different Years.",15.1
28, ñ D)George Walker Bush,Barack Obama,Jimmy Carter,Woodrow Wilson,George Walker Bush,None of these,Who among the following not received the Nobel Prize ?," :Barack Obama and the other US Presidents who have won the Nobel Peace Prize are, in chronological order, Theodore Roosevelt,Woodrow Wilson, and Jimmy Carter",15.1
29, ñ C)Mother Teresa,Shirin Ebadi,Joddy williams,Mother Teresa,Malala Yousafzal,None of these,Who became the first Indian woman to win a Nobel Peace Prize in 1979 ?, :Mother Teresa: She became the first Indian woman to win a Nobel Peace Prize in 1979.,15.1
30, ñ B)Bhanu Athaiya,Arunanathi Roy,Bhanu Athaiya,Vikku Vinayak,AR Rahman,None of these,_____.. was the first Indian to win Oscar Award in 1982," :Bhanu Athaiya won the Academy Award for Best Costume Design (shared with John Mollo) for her work in the 1982 film, Gandhi. She became the first Indian to win an Oscar Award",15.1
31, ñ D)All of these,Mother India,Salam Bombay,Lagan,All of these,None of these,Which of the following Indian films are nominated for Oscar Award ?," :Mother India (1957), Salaam Bombay (1989) and Lagaan (2002) all carry the prestige of being former nominees for Best Foreign Film at the Academy Awards, but unfortunately none of them succeeded in winning. Both Gandhi (1983) and Slumdog Millionaire (2009) in comparison won a fleeting victory of eight awards each, including Best Picture",15.1
32, ñ A)1944,1944,1920,1935,1952,None of these,The Golden Globe awards started in _____," :The Golden Globe Award is an American accolade bestowed by the 93 members of the Hollywood Foreign Press Association(HFPA) recognizing excellence in film and television, both domestic and foreign.It was first awarded in 1944",15.1
33, ñ B)The Right Livelihood Award,UNESCO Peace Prize,The Right Livelihood Award,Ramon Magsaysay Award,UN Human Rights Award,None of these,_____.. is also referred as the ëAlternative Nobel Prizeí," :The Right Livelihood Award is an international award to ìhonour and support those offering practical and exemplary answers to the most urgent challenges facing us today.The prize was established in 1980 by German-Swedish philanthropist Jakob von Uexkull, and is presented annually in early December. Although it is promoted as an ìAlternative Nobel Prizeî",15.1
34, ñ C)Pandit Ravi Shankar,AR Rehman,Neela Vaswani,Pandit Ravi Shankar,Ricky Kej,None of these,Who among the following won the Grammy awards three times ?, :Pandit Ravi Shankar was one of the best known exponents of the Sitar as well as a composer of Hindustani Classical Music. He has won Three Grammy awards including a Lifetime Achievement Grammy.,15.1
35, ñ D)1954,1956,1970,1962,1954,None of these,Bharat Ratna Award was first awarded in _____," :The Bharat Ratna is the highest civilian award of the Republic of India. Instituted in 1954, the award is conferred ìin recognition of exceptional service/performance of the highest orderî, without distinction of race, occupation, position",15.1
36, ñ A)Sports Gem,Sports Gem,Sports,Sports Achievements,Sports Award,None of these,The words ë Khel Ratnaí literally means," :The words ìKhel Ratnaî literally mean ìsports gemî in Hindi. The award is named after Rajiv Gandhi, the former Prime Minister of India",15.1
37, ñ B)Sushmita Sen,Reita Faria Powell,Sushmita Sen,Pramila,Paulina Vega,None of these,_____. is the first woman to win the Miss Universe contest in 1994, :Sushmita Sen of India crowned by Dayanara Torres of Puerto Rico. This is the first time India won the pageant in 1994,15.1
38, ñ A)1929,1929,1932,1946,1908,None of these,Oscar awarded started in _____," :The 1st Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored the best films of 1927 and 1928 and took place on May 16, 1929, at a private dinner held at the Hollywood Roosevelt Hotel in Los Angeles, California",15.1
39, ñ D)AR Rahman,Vionod Bhave,Ela Bhatt,VS Naipaul,AR Rahman,None of these,Who is the first Indian to win Golden Globe Award ?," :A.R. Rahman became the first Indian to win theGolden Globe Award, for best original soundtrack to the multi award-winning Slumdog Millionaire",15.1
40, ñ B)1995,1993,1995,1998,1988,None of these,The Mahatma Gandhi Peace Prize was instituted in _____..," :The International Gandhi Peace Prize, named after Mahatma Gandhi, is awarded annually by the Government of India.  As a tribute to the ideals espoused by Gandhi, the Government of India launched the International Gandhi Peace Prize in 1995 on the occasion of the 125th birth anniversary of Mohandas Gandhi.",15.1
41, ñ C)literature,science,sports,literature,music,None of these,The Murtidevi award is given for  extra ordinary performance in _____.., :The Moortidevi Award is an annual literary award in India presented by the Bharatiya Jnanpith organization for a work which emphasizes Indian philosophy and literature,15.1
42, ñ A)Sathiya Akademi,Sathiya Akademi,Government of India,Sangeet Natak Akademi,Foundation of Bajaj Group,None of these,The Translation awards are given by," :Besides the annual awards for creative writing, the Sahitya Akademi has instituted an annual prize for translation from 1989 to be given to outstanding translatio",15.1
43, ñ D)2002,2005,1998,2000,2002,None of these,The Dhyanachand award is Indiaís highest sports award. It was instituted in," :Dhyan Chand Award is the Indiaís highest award for lifetime achievement in sports and games, given by the Ministry of Youth Affairs and Sports, Government of India.The award is named after the legendary Indian hockey player Dhyan Chand. The award was initiated in 2002",15.1
44, ñ B)Dr.MG Ramachandran,Dr. Zakir Hussain,Dr.MG Ramachandran,Rajiv Gandhi,Pandit Ravi Shankar,None of these,Who refused to accept the Padma Shri award on 1960 ?," :In 1960, MG Ramachandran had also rejected the Padma Shri because it was written only in Devanagari script.",15.1
