sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,source,name
11,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (90).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (90).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (91).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (91).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (92).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (92).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (93).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (93).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (94).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (94).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (95).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (95).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (96).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (96).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (97).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (97).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (98).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (98).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (99).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (99).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (01).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (01).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (02).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (02).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (03).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (03).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (04).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (04).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (05).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (05).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (06).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (06).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (07).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (07).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (08).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (08).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (09).png,,"1,3,7",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (09).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (10).png,,7,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (10).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (11).png,,"1,7",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (11).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (12).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (12).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (13).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (13).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (14).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (14).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
11,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (15).png,,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (15).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (16).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (16).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (17).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (17).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
14,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (18).png,,7,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (18).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
15,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (19).png,,7,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (19).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
16,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (20).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (20).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
17,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (21).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (21).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
18,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (22).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (22).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
19,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (23).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (23).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
20,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (24).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (24).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (25).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (25).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (26).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (26).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (27).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (27).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (28).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (28).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (29).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (29).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (30).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (30).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (31).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (31).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (32).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (32).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (33).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (33).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (34).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (34).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (35).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (35).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (36).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (36).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (37).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (37).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (38).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (38).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (39).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (39).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (40).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (40).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (41).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (41).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (42).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (42).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (43).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (43).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (44).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (44).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (45).png,,7,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (45).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (46).png,,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (46).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (47).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (47).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
11,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (48).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (48).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (49).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (49).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (50).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (50).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
14,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (51).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (51).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
15,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (52).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (52).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
16,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (53).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (53).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
17,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (54).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (54).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
18,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (55).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (55).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
19,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/2 (56).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/2 (56).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (01).png,,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (01).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (02).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (02).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (03).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (03).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (04).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (04).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (05).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (05).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (06).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (06).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (07).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (07).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (08).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (08).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (09).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (09).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
11,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (10).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (10).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (11).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (11).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (12).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (12).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
14,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (13).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (13).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
15,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (14).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (14).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
16,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (15).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (15).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
17,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (16).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (16).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
19,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (17).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (17).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
20,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (18).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (18).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
21,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (19).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (19).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
22,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (20).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (20).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
23,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (21).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (21).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
24,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (22).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (22).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
25,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (23).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (23).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
26,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (24).png,,9,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (24).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
27,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (25).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (25).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
28,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (26).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (26).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
29,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (27).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (27).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
30,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (28).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (28).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
31,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (29).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (29).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
32,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (30).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (30).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
33,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (31).png,,7,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (31).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
34,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (32).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (32).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
35,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (33).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (33).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
36,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (34).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (34).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
38,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (35).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (35).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
39,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (36).png,,"1,6",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (36).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
40,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (37).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (37).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
41,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (38).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (38).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
42,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (39).png,,"1,6",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (39).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
43,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (40).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (40).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
44,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (41).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (41).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
45,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (42).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (42).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
46,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (43).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (43).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
47,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (44).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (44).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
48,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/3 (45).png,,8,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/3 (45).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
