sl.no.,correct,QuestionLink,direction,explanation,section_type,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,sl. No.
294,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (94).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (94).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
295,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (95).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (95).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
296,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (96).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (96).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
297,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (97).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (97).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
298,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (98).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (98).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
299,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/3 (99).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/3 (99).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
300,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (01).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (01).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
301,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (02).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (02).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
302,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (03).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (03).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
303,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (04).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (04).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
304,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (05).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (05).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
305,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (06).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (06).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
306,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (07).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (07).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
307,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (08).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (08).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
308,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (09).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (09).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
309,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (10).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (10).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
310,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (11).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (11).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
311,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (12).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (12).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
312,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (13).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (13).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
313,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (14).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (14).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
314,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (15).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (15).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
315,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (16).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (16).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
316,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (17).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (17).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
317,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (18).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (18).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
318,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (19).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (19).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
319,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (20).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (20).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
320,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (21).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (21).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
321,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (22).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (22).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
322,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (23).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (23).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
323,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (24).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (24).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
324,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (25).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (25).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
325,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (26).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (26).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
326,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (27).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (27).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
327,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (28).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (28).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
328,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (29).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (29).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
329,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (30).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (30).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
330,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (31).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (31).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
331,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (32).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (32).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
332,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (33).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (33).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
333,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (34).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (34).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
334,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (35).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (35).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
335,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (36).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (36).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
336,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (37).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (37).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
337,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (38).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (38).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
338,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (39).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (39).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
339,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (40).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (40).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
340,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (41).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (41).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
341,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (42).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (42).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
342,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (43).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (43).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
343,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (44).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (44).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
344,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (45).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (45).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
345,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (46).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (46).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
346,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (47).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (47).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
347,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (48).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (48).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
348,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (49).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (49).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
349,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (50).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (50).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
350,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (51).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (51).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
351,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (52).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (52).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
352,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (53).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (53).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
353,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (54).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (54).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
354,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (55).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (55).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
355,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (56).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (56).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
356,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (57).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (57).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
357,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (58).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (58).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
358,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (59).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (59).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
359,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (60).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (60).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
360,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (61).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (61).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
361,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (62).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (62).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
362,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (63).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (63).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
363,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (64).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (64).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
364,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (65).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (65).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
365,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (66).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (66).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
366,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (67).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (67).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
367,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (68).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (68).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
368,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (69).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (69).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
369,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (70).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (70).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
370,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (71).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (71).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
371,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (72).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (72).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
372,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (73).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (73).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
373,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (74).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (74).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
374,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (75).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (75).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
375,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (76).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (76).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
376,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (77).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (77).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
377,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (78).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (78).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
378,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (79).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (79).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
379,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (80).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (80).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
380,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (81).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (81).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
381,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (82).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (82).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
382,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (83).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (83).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
383,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (84).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (84).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
384,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (85).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (85).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
385,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (86).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (86).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
386,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (87).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (87).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
387,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (88).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (88).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
388,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (89).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (89).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
389,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (90).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (90).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
390,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (91).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (91).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
391,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (92).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (92).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
392,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (93).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (93).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
393,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (94).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (94).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
394,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (95).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (95).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
395,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (96).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (96).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
396,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (97).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (97).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
397,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (98).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (98).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
398,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/4 (99).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/4 (99).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
399,4,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (01).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (01).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
400,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (02).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (02).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
401,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (03).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (03).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
402,1,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (04).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (04).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
403,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (05).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (05).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
404,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (06).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (06).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
405,2,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (07).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (07).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
406,3,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 ques/5 (08).png,,https://s3.amazonaws.com/rrbbodhi/rrb gk ch 12 sol/5 (08).png,GK,12.1,,,A,B,C,D,,RRB,Bi,Kiran,Biology,
