sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
17,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (17).png,Maths_IIT,13.1,9,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
18,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (18).png,Maths_IIT,13.1,9,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
19,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (19).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
20,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (20).png,Maths_IIT,13.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
21,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (21).png,Maths_IIT,13.1,7,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
22,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (22).png,Maths_IIT,13.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
23,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (23).png,Maths_IIT,13.1,3,D,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
24,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (24).png,Maths_IIT,13.1,10,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
25,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (25).png,Maths_IIT,13.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
26,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (26).png,Maths_IIT,13.1,9,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
27,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (27).png,Maths_IIT,13.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
28,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (28).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
29,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (29).png,Maths_IIT,13.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
30,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (30).png,Maths_IIT,13.1,9,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
31,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (31).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (31).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
32,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (32).png,Maths_IIT,13.1,10,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
33,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (33).png,Maths_IIT,13.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
34,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (34).png,Maths_IIT,13.1,7,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
35,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (35).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
36,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (36).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (36).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
38,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (38).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (38).png,Maths_IIT,13.1,9,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
39,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (39).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (39).png,Maths_IIT,13.1,7,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
40,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (40).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (40).png,Maths_IIT,13.1,7,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
41,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (41).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (41).png,Maths_IIT,13.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
42,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (42).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (42).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
43,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (43).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (43).png,Maths_IIT,13.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
44,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (44).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (44).png,Maths_IIT,13.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
45,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (45).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (45).png,Maths_IIT,13.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
46,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (46).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (46).png,Maths_IIT,13.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
47,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (47).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (47).png,Maths_IIT,13.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
48,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (48).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (48).png,Maths_IIT,13.1,13,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
49,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (49).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (49).png,Maths_IIT,13.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
50,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (50).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (50).png,Maths_IIT,13.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
51,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (51).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (51).png,Maths_IIT,13.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
52,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (52).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (52).png,Maths_IIT,13.1,5,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
53,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (53).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (53).png,Maths_IIT,13.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
54,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (54).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (54).png,Maths_IIT,13.1,9,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
55,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (55).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (55).png,Maths_IIT,13.1,9,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
56,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (56).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (56).png,Maths_IIT,13.1,7,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
57,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (57).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (57).png,Maths_IIT,13.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
58,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (58).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (58).png,Maths_IIT,13.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
1,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (01).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
2,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (02).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
4,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (04).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
6,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (06).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
7,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (07).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
8,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (08).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
9,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (09).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
10,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (10).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
11,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (11).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
12,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (12).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
13,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (13).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
14,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (14).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
15,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (15).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
16,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (16).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
18,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (18).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
19,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (19).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
20,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (20).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
21,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (21).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
22,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (22).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
23,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (23).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
24,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (24).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
25,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (25).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
26,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (26).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
27,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (27).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
28,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (28).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
29,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (29).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
30,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (30).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
32,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (32).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
33,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (33).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
34,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (34).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
35,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (35).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
36,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (36).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (36).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
37,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (37).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (37).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
38,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (38).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (38).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
39,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (39).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (39).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
40,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (40).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (40).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
41,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (41).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (41).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
42,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (42).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (42).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
44,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (44).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (44).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
45,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (45).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (45).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
46,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (46).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (46).png,Maths_IIT,14.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
47,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (47).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (47).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
48,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (48).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (48).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
49,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (49).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (49).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
50,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (50).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (50).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
51,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (51).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (51).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
52,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (52).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (52).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
53,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (53).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (53).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
54,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (54).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (54).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
55,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (55).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (55).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
56,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (56).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (56).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
