sl.no.,correct,QuestionLink,direction,explanation,sectionType,optA,optB,optC,optD,category,usedFor,lang,source,name
139,4,https://i.imgur.com/zs41J0k.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/SSjrDvV.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
140,1,https://i.imgur.com/KqdvFAG.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/cmZ92Nu.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
141,3,https://i.imgur.com/dnbw24S.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wrCLFMv.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
142,4,https://i.imgur.com/t2lDEQt.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/qiF1nhD.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
143,4,https://i.imgur.com/rybcDc9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NxmtHtM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
144,1,https://i.imgur.com/qlsVd08.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/HHl4uSh.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
145,3,https://i.imgur.com/RKc3mJl.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/AFoQXIk.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
146,4,https://i.imgur.com/08Ios9Q.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/tlJTOkq.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
147,2,https://i.imgur.com/6u8uzvI.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/oniOLy5.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
148,4,https://i.imgur.com/fFu7fi9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Wjhe8sG.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
149,4,https://i.imgur.com/4xlbOz5.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/SM4ehV0.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
150,3,https://i.imgur.com/9keQrjM.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/9YP23qY.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
151,4,https://i.imgur.com/2pbnt9b.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ei6fLIP.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
152,4,https://i.imgur.com/ZSjKx6p.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/O9n5Ngj.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
153,1,https://i.imgur.com/KZoYhNJ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/YkkgYLv.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
154,3,https://i.imgur.com/TvRUcck.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/AbCafHk.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
155,2,https://i.imgur.com/2WGimFP.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NtX2zQJ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
156,4,https://i.imgur.com/HvVMx4k.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/bG2wmBQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
157,4,https://i.imgur.com/i4uA6RN.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/CpsE1xi.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
158,4,https://i.imgur.com/9QkBSOw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/XiWFAWu.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
159,3,https://i.imgur.com/I68Zzim.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GgVcJPE.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
160,4,https://i.imgur.com/lIuddyA.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/6PHxE2O.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
161,1,https://i.imgur.com/pJMBouq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/oAwMbkz.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
162,4,https://i.imgur.com/bpr4taX.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/sbsxRnz.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
163,2,https://i.imgur.com/WZJa8md.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lCgWI9P.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
164,2,https://i.imgur.com/9QeOU88.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gPb300l.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
165,1,https://i.imgur.com/61UZXOk.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/JGHsnfP.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
166,4,https://i.imgur.com/31iqA6u.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/uTZX4gi.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
167,2,https://i.imgur.com/gueO4ro.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/0Iz4dSy.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
168,4,https://i.imgur.com/st7Pv8V.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UBBGPTs.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
169,4,https://i.imgur.com/027kEfD.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/uE2BDmQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
170,1,https://i.imgur.com/ZYPkQsd.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Ol3ucbG.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
171,1,https://i.imgur.com/TORuE63.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EHlIyPM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
172,3,https://i.imgur.com/WacpSQO.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/m6tEKHn.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
173,2,https://i.imgur.com/D6iGdSh.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/nJlxwVM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
174,4,https://i.imgur.com/yIrgp36.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/e4vWigd.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
175,3,https://i.imgur.com/JPRuWa8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2rtYEvM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
176,2,https://i.imgur.com/VbSDILx.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mbfMuQg.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
177,4,https://i.imgur.com/EY3NrEI.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Alte6ZE.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
178,2,https://i.imgur.com/uWv38Pu.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/K5KnckE.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
179,2,https://i.imgur.com/hrFhe0d.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/0yad8wK.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
180,4,https://i.imgur.com/SOnJYvQ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/PqtdeSg.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
181,2,https://i.imgur.com/fLJS6pI.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EERprY5.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
182,3,https://i.imgur.com/zxWvtKf.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/AXVhomN.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
183,1,https://i.imgur.com/drcgkbq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ygk5Zgm.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
184,4,https://i.imgur.com/U6EpUCi.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GUyvbom.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
185,4,https://i.imgur.com/z9N4Yvp.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xGfIqsL.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
186,1,https://i.imgur.com/LkAWobG.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/VPoH9LH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
187,4,https://i.imgur.com/PtoJbay.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gFLoOiM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
188,3,https://i.imgur.com/fqEEboE.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/PFIDxrY.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
189,3,https://i.imgur.com/4K0VhpI.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/RUHTAVM.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
190,4,https://i.imgur.com/TPCO2c8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/VxwzPQo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
191,4,https://i.imgur.com/TwFUyjl.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wMKxTHi.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
192,2,https://i.imgur.com/HgJVNIw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/3GeIIYp.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
193,2,https://i.imgur.com/jLsJlfg.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lyD2NpV.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
194,1,https://i.imgur.com/37ZnVg9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/pJHVD9v.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
195,3,https://i.imgur.com/AkqIIhh.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/W7OyiTj.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
196,4,https://i.imgur.com/u9YSytS.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UfMC3Xq.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
197,4,https://i.imgur.com/Cg1PECl.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/AJQn025.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
198,4,https://i.imgur.com/O5DA7BU.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GmdE0Ut.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
199,4,https://i.imgur.com/iE7VjmY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/chmR3Rm.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
200,4,https://i.imgur.com/yevDxcl.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/KpGkfwJ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
201,3,https://i.imgur.com/irlru27.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/XYvPdev.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
202,4,https://i.imgur.com/E0MpfVs.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ACIuep3.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
203,4,https://i.imgur.com/JfuZAVy.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/JgqKBTH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
204,3,https://i.imgur.com/CdxEdSZ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/08FHret.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
205,1,https://i.imgur.com/txTWdVy.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/nr3k4uy.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
206,3,https://i.imgur.com/IlVIFpe.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/0UhkbzT.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
207,3,https://i.imgur.com/EEWGr0B.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/diQn8CX.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
208,2,https://i.imgur.com/TaufnsR.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Il1Eu97.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
209,4,https://i.imgur.com/HPKZrNJ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/TW8bUa6.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
210,1,https://i.imgur.com/JgJpnAG.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/fz7gdtC.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
211,3,https://i.imgur.com/xRA8xJg.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/CVG6NlN.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
212,4,https://i.imgur.com/XnCBgLo.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xnrm4aT.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
213,3,https://i.imgur.com/xzwSAtP.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/jDzT1jH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
214,1,https://i.imgur.com/SLpKiYN.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lBmk8jx.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
215,2,https://i.imgur.com/JJULKhZ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2XPcKSL.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
216,3,https://i.imgur.com/onxF75o.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EjBlJgk.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
217,2,https://i.imgur.com/1244pCj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/sVxQvBO.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
218,1,https://i.imgur.com/EAvUIJn.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vQt3Rxg.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
219,3,https://i.imgur.com/bey8rrX.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mzpkXxR.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
220,4,https://i.imgur.com/ZyN8VqB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/JXpKydg.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
221,4,https://i.imgur.com/rLK53dw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/8hy32GN.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
222,2,https://i.imgur.com/HduMPH0.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/r4oIhUl.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
223,2,https://i.imgur.com/14F9eQt.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/e6cZ75k.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
224,4,https://i.imgur.com/vscgKdt.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mBwxv4y.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
225,1,https://i.imgur.com/Rjv0LOj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Z5hJspx.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
226,3,https://i.imgur.com/juqLEU7.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/1Vd2Q96.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
228,1,https://i.imgur.com/JRv51RC.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mmZ05dS.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
229,4,https://i.imgur.com/uVoMTJX.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/rX1adkH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
230,1,https://i.imgur.com/BqbwTRL.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ZmKYtlW.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
231,1,https://i.imgur.com/ie3hwAj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/j9S7INf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
232,3,https://i.imgur.com/25Mwr59.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EtGxZhf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
233,4,https://i.imgur.com/agG8PDS.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NIO7MIz.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
234,4,https://i.imgur.com/1djzV0r.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/V9l20aY.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
235,4,https://i.imgur.com/9AddJqK.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/R6suMo4.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
236,4,https://i.imgur.com/vcSqPq4.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gCqTurP.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
237,4,https://i.imgur.com/CsYCmAo.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/j8UfWb9.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
238,4,https://i.imgur.com/5lZQCMw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UGfpOGJ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
239,1,https://i.imgur.com/YqS805T.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/IaaKgZS.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
240,3,https://i.imgur.com/MJBTnTd.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2Z4wXOF.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
241,3,https://i.imgur.com/JonNmjO.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/tZOYbvj.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
242,4,https://i.imgur.com/BFbYJWz.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/oErSKSc.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
243,4,https://i.imgur.com/U0hCyFm.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/rL2KNnb.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
244,2,https://i.imgur.com/law3Pk9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/RBzNoeC.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
245,4,https://i.imgur.com/WD6X4im.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NlYvSji.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
246,4,https://i.imgur.com/jVkLOOh.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/jk0crFt.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
247,4,https://i.imgur.com/FRixbdw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/figbiwN.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
248,4,https://i.imgur.com/yMxiLXw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/IqFkOv2.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
249,2,https://i.imgur.com/ylVK1PE.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/99kcONo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
250,4,https://i.imgur.com/W9MF71E.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/KBpc3Gu.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
251,4,https://i.imgur.com/PJiCyGs.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/h96sD4I.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
252,4,https://i.imgur.com/cmvfubn.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/oIdTDdf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
253,4,https://i.imgur.com/J9qv9wQ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/z43LvLl.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
254,1,https://i.imgur.com/OUsZhIg.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/06Z3UxN.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
255,4,https://i.imgur.com/jcxUaPi.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ICoAFgn.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
256,4,https://i.imgur.com/a3Cq8e1.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vRdMAqL.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
257,4,https://i.imgur.com/6dlOIM5.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/dKagLvE.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
258,4,https://i.imgur.com/5LMuqfW.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/U1059Ag.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
259,4,https://i.imgur.com/U7YYvmA.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/VSdZOgf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
260,4,https://i.imgur.com/oZZZ4Xm.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vbZK8dH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
261,1,https://i.imgur.com/PLgk8uB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vupK0ln.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
262,4,https://i.imgur.com/PfSVVh8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2SKPoqX.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
263,4,https://i.imgur.com/PljqqYs.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Y8mIKEo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
264,4,https://i.imgur.com/seQLFVp.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/uqxFK1N.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
265,4,https://i.imgur.com/m08wePB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/S3ennqo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
266,2,https://i.imgur.com/dyrCdtd.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/qYspOuj.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
267,1,https://i.imgur.com/OFLWAbD.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/nqWgJCp.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
268,4,https://i.imgur.com/s3RLFI6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/aMZDmXD.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
269,1,https://i.imgur.com/rMYfcew.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lzfuFqP.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
270,4,https://i.imgur.com/TzHqFZO.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/p2att1E.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
271,4,https://i.imgur.com/EIQ4tmA.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/3OZ0oI4.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
272,3,https://i.imgur.com/0OoYTXK.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/U2oA0U1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
273,4,https://i.imgur.com/4dgkLDX.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/BtnNfGt.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
274,4,https://i.imgur.com/CHtvQP9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/WjKRZtW.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
275,4,https://i.imgur.com/bf0QDhi.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2JRKsne.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
276,4,https://i.imgur.com/jPJpX1P.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Dx1B1bQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
277,3,https://i.imgur.com/CiYcFbl.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/P90MuQB.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
278,3,https://i.imgur.com/ezAfYp8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ITKAEXf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
279,4,https://i.imgur.com/bb5POz8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/7LA13cI.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
280,4,https://i.imgur.com/LeVJpib.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2sZ5MPP.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
